"id","name","description","strategy_criteria","buy_entry","buy_exit","sell_entry","sell_exit","sl_criteria","trlg_criteria","trlg_option","active"
"1119","Price-Cr-Ema1000-SL-NoTh","Price-Cr-Ema1000-SL-NoTh","prev_ema1000","( curr_close > curr_ema1000 && prev_close < prev_ema1000 ) ","( curr_close <  signal_sl || curr_close  < signal_trlg  ) ","( curr_close < curr_ema1000 && prev_close > prev_ema1000 ) ","( curr_close >  signal_sl || curr_close  > signal_trlg  ) ","40","8","linear","0"
"1120","Price-Cr-Ema1050-SL-NoTh","Price-Cr-Ema1050-SL-NoTh","prev_ema1050","( curr_close > curr_ema1050 && prev_close < prev_ema1050 ) ","( curr_close <  signal_sl || curr_close  < signal_trlg  ) ","( curr_close < curr_ema1050 && prev_close > prev_ema1050 ) ","( curr_close >  signal_sl || curr_close  > signal_trlg  ) ","40","8","linear","0"
"1121","Price-Cr-Ema1100-SL-NoTh","Price-Cr-Ema1100-SL-NoTh","prev_ema1100","( curr_close > curr_ema1100 && prev_close < prev_ema1100 ) ","( curr_close <  signal_sl || curr_close  < signal_trlg  ) ","( curr_close < curr_ema1100 && prev_close > prev_ema1100 ) ","( curr_close >  signal_sl || curr_close  > signal_trlg  ) ","40","8","linear","0"
"1122","Price-Cr-Ema1150-SL-NoTh","Price-Cr-Ema1150-SL-NoTh","prev_ema1150","( curr_close > curr_ema1150 && prev_close < prev_ema1150 ) ","( curr_close <  signal_sl || curr_close  < signal_trlg  ) ","( curr_close < curr_ema1150 && prev_close > prev_ema1150 ) ","( curr_close >  signal_sl || curr_close  > signal_trlg  ) ","40","8","linear","0"
"1123","Price-Cr-Ema1200-SL-NoTh","Price-Cr-Ema1200-SL-NoTh","prev_ema1200","( curr_close > curr_ema1200 && prev_close < prev_ema1200 ) ","( curr_close <  signal_sl || curr_close  < signal_trlg  ) ","( curr_close < curr_ema1200 && prev_close > prev_ema1200 ) ","( curr_close >  signal_sl || curr_close  > signal_trlg  ) ","40","8","linear","0"
"1124","Price-Cr-Ema1250-SL-NoTh","Price-Cr-Ema1250-SL-NoTh","prev_ema1250","( curr_close > curr_ema1250 && prev_close < prev_ema1250 ) ","( curr_close <  signal_sl || curr_close  < signal_trlg  ) ","( curr_close < curr_ema1250 && prev_close > prev_ema1250 ) ","( curr_close >  signal_sl || curr_close  > signal_trlg  ) ","40","8","linear","0"
"1125","Price-Cr-Ema1300-SL-NoTh","Price-Cr-Ema1300-SL-NoTh","prev_ema1300","( curr_close > curr_ema1300 && prev_close < prev_ema1300 ) ","( curr_close <  signal_sl || curr_close  < signal_trlg  ) ","( curr_close < curr_ema1300 && prev_close > prev_ema1300 ) ","( curr_close >  signal_sl || curr_close  > signal_trlg  ) ","40","8","linear","0"
"1126","Price-Cr-Ema1350-SL-NoTh","Price-Cr-Ema1350-SL-NoTh","prev_ema1350","( curr_close > curr_ema1350 && prev_close < prev_ema1350 ) ","( curr_close <  signal_sl || curr_close  < signal_trlg  ) ","( curr_close < curr_ema1350 && prev_close > prev_ema1350 ) ","( curr_close >  signal_sl || curr_close  > signal_trlg  ) ","40","8","linear","0"
"1127","Price-Cr-Ema1400-SL-NoTh","Price-Cr-Ema1400-SL-NoTh","prev_ema1400","( curr_close > curr_ema1400 && prev_close < prev_ema1400 ) ","( curr_close <  signal_sl || curr_close  < signal_trlg  ) ","( curr_close < curr_ema1400 && prev_close > prev_ema1400 ) ","( curr_close >  signal_sl || curr_close  > signal_trlg  ) ","40","8","linear","0"
"1128","Price-Cr-Ema1450-SL-NoTh","Price-Cr-Ema1450-SL-NoTh","prev_ema1450","( curr_close > curr_ema1450 && prev_close < prev_ema1450 ) ","( curr_close <  signal_sl || curr_close  < signal_trlg  ) ","( curr_close < curr_ema1450 && prev_close > prev_ema1450 ) ","( curr_close >  signal_sl || curr_close  > signal_trlg  ) ","40","8","linear","0"
"1129","Price-Cr-Ema1500-SL-NoTh","Price-Cr-Ema1500-SL-NoTh","prev_ema1500","( curr_close > curr_ema1500 && prev_close < prev_ema1500 ) ","( curr_close <  signal_sl || curr_close  < signal_trlg  ) ","( curr_close < curr_ema1500 && prev_close > prev_ema1500 ) ","( curr_close >  signal_sl || curr_close  > signal_trlg  ) ","40","8","linear","0"
"1201","Price-Cr-Ema100-SL-ema50","Price-Cr-Ema100-SL-ema50","prev_ema100","( curr_close > curr_ema100 && prev_close < prev_ema100 ) ","( curr_close <  signal_sl || curr_close  < signal_trlg || curr_close < curr_ema50  ) ","( curr_close < curr_ema100 && prev_close > prev_ema100 ) ","( curr_close >  signal_sl || curr_close  > signal_trlg || curr_close > curr_ema50  ) ","40","8","linear","0"
"1202","Price-Cr-Ema150-SL-ema150-1","Price-Cr-Ema150-SL-ema150-1","prev_ema150","( curr_close > curr_ema150 && prev_close < prev_ema150 ) ","( curr_close <  signal_sl || curr_close  < signal_trlg || curr_close < curr_ema150  ) ","( curr_close < curr_ema150 && prev_close > prev_ema150 ) ","( curr_close >  signal_sl || curr_close  > signal_trlg || curr_close > curr_ema150  ) ","40","8","linear","0"
"1203","Price-Cr-Ema200-SL-ema150","Price-Cr-Ema200-SL-ema150","prev_ema200","( curr_close > curr_ema200 && prev_close < prev_ema200 ) ","( curr_close <  signal_sl || curr_close  < signal_trlg || curr_close < curr_ema150  ) ","( curr_close < curr_ema200 && prev_close > prev_ema200 ) ","( curr_close >  signal_sl || curr_close  > signal_trlg || curr_close > curr_ema150  ) ","40","8","linear","0"
"1204","Price-Cr-Ema250-SL-ema150","Price-Cr-Ema250-SL-ema150","prev_ema250","( curr_close > curr_ema250 && prev_close < prev_ema250 ) ","( curr_close <  signal_sl || curr_close  < signal_trlg || curr_close < curr_ema150  ) ","( curr_close < curr_ema250 && prev_close > prev_ema250 ) ","( curr_close >  signal_sl || curr_close  > signal_trlg || curr_close > curr_ema150  ) ","40","8","linear","0"
"1205","Price-Cr-Ema300-SL-ema150","Price-Cr-Ema300-SL-ema150","prev_ema300","( curr_close > curr_ema300 && prev_close < prev_ema300 ) ","( curr_close <  signal_sl || curr_close  < signal_trlg || curr_close < curr_ema150  ) ","( curr_close < curr_ema300 && prev_close > prev_ema300 ) ","( curr_close >  signal_sl || curr_close  > signal_trlg || curr_close > curr_ema150  ) ","40","8","linear","0"
"1206","Price-Cr-Ema350-SL-ema150","Price-Cr-Ema350-SL-ema150","prev_ema350","( curr_close > curr_ema350 && prev_close < prev_ema350 ) ","( curr_close <  signal_sl || curr_close  < signal_trlg || curr_close < curr_ema150  ) ","( curr_close < curr_ema350 && prev_close > prev_ema350 ) ","( curr_close >  signal_sl || curr_close  > signal_trlg || curr_close > curr_ema150  ) ","40","8","linear","0"
"1207","Price-Cr-Ema400-SL-ema150","Price-Cr-Ema400-SL-ema150","prev_ema400","( curr_close > curr_ema400 && prev_close < prev_ema400 ) ","( curr_close <  signal_sl || curr_close  < signal_trlg || curr_close < curr_ema150  ) ","( curr_close < curr_ema400 && prev_close > prev_ema400 ) ","( curr_close >  signal_sl || curr_close  > signal_trlg || curr_close > curr_ema150  ) ","40","8","linear","0"
"1208","Price-Cr-Ema450-SL-ema150","Price-Cr-Ema450-SL-ema150","prev_ema450","( curr_close > curr_ema450 && prev_close < prev_ema450 ) ","( curr_close <  signal_sl || curr_close  < signal_trlg || curr_close < curr_ema150  ) ","( curr_close < curr_ema450 && prev_close > prev_ema450 ) ","( curr_close >  signal_sl || curr_close  > signal_trlg || curr_close > curr_ema150  ) ","40","8","linear","0"
"1209","Price-Cr-Ema500-SL-ema150","Price-Cr-Ema500-SL-ema150","prev_ema500","( curr_close > curr_ema500 && prev_close < prev_ema500 ) ","( curr_close <  signal_sl || curr_close  < signal_trlg || curr_close < curr_ema150  ) ","( curr_close < curr_ema500 && prev_close > prev_ema500 ) ","( curr_close >  signal_sl || curr_close  > signal_trlg || curr_close > curr_ema150  ) ","40","8","linear","0"
"1210","Price-Cr-Ema550-SL-ema150","Price-Cr-Ema550-SL-ema150","prev_ema550","( curr_close > curr_ema550 && prev_close < prev_ema550 ) ","( curr_close <  signal_sl || curr_close  < signal_trlg || curr_close < curr_ema150  ) ","( curr_close < curr_ema550 && prev_close > prev_ema550 ) ","( curr_close >  signal_sl || curr_close  > signal_trlg || curr_close > curr_ema150  ) ","40","8","linear","0"
"1211","Price-Cr-Ema600-SL-ema150","Price-Cr-Ema600-SL-ema150","prev_ema600","( curr_close > curr_ema600 && prev_close < prev_ema600 ) ","( curr_close <  signal_sl || curr_close  < signal_trlg || curr_close < curr_ema150  ) ","( curr_close < curr_ema600 && prev_close > prev_ema600 ) ","( curr_close >  signal_sl || curr_close  > signal_trlg || curr_close > curr_ema150  ) ","40","8","linear","0"
